contract_id,tender_id,winning_vendor_id,contract_amount,contract_start_date,contract_end_date
CON0059,TEN0059,VEN0096,12179000,2022-10-13,2023-08-28
CON0060,TEN0060,VEN0077,10648000,2023-10-15,2024-02-17
CON0061,TEN0061,VEN0053,7293000,2024-06-21,2024-10-25
CON0062,TEN0062,VEN0111,8131000,2024-04-16,2025-03-24
CON0063,TEN0063,VEN0015,1078000,2022-10-12,2022-12-28
CON0064,TEN0064,VEN0098,609000,2024-06-04,2024-08-30
CON0065,TEN0065,VEN0079,8066000,2023-11-15,2023-12-18
CON0066,TEN0066,VEN0021,758000,2023-07-26,2024-01-04
CON0067,TEN0067,VEN0050,484000,2023-01-10,2023-04-24
CON0068,TEN0068,VEN0098,1719000,2021-08-09,2021-09-18
CON0069,TEN0069,VEN0052,3216000,2021-06-06,2022-12-27
CON0070,TEN0070,VEN0032,5004000,2024-12-18,2025-04-12
CON0071,TEN0071,VEN0041,32126000,2024-12-14,2026-09-04
CON0072,TEN0072,VEN0096,4054000,2022-09-13,2023-05-04
CON0073,TEN0073,VEN0040,380000,2021-11-21,2022-01-07
CON0074,TEN0074,VEN0077,9281000,2025-01-06,2025-03-15
CON0075,TEN0075,VEN0099,939000,2022-09-22,2023-01-08
CON0076,TEN0076,VEN0032,2646000,2022-09-30,2023-07-23
CON0077,TEN0077,VEN0033,26781000,2024-02-27,2025-03-14
CON0078,TEN0078,VEN0025,1492000,2022-01-30,2022-03-19
CON0079,TEN0079,VEN0090,6833000,2021-03-26,2022-02-05
CON0080,TEN0080,VEN0019,4892000,2021-03-02,2022-01-12
CON0081,TEN0081,VEN0083,9300000,2024-01-16,2025-01-11
CON0082,TEN0082,VEN0036,22071000,2025-01-23,2026-01-24
CON0083,TEN0083,VEN0073,4229000,2023-11-19,2023-12-31
CON0084,TEN0084,VEN0102,14198000,2022-05-05,2024-01-17
CON0085,TEN0085,VEN0031,550000,2023-11-04,2024-01-24
CON0086,TEN0086,VEN0056,15766000,2025-02-24,2025-12-22
CON0087,TEN0087,VEN0064,1176000,2021-10-14,2022-02-20
CON0088,TEN0088,VEN0087,2607000,2021-03-26,2022-10-13
CON0089,TEN0089,VEN0108,2258000,2022-07-25,2022-10-23
CON0090,TEN0090,VEN0004,7717000,2022-06-11,2022-07-17
CON0091,TEN0091,VEN0073,1356000,2021-07-29,2021-11-05
CON0092,TEN0092,VEN0049,893000,2023-11-07,2024-01-06
CON0093,TEN0093,VEN0082,6146000,2025-02-16,2025-05-11
CON0094,TEN0094,VEN0044,4977000,2023-05-07,2023-11-04
CON0095,TEN0095,VEN0097,6099000,2022-09-24,2023-06-24
CON0096,TEN0096,VEN0020,5729000,2021-10-12,2022-03-20
CON0097,TEN0097,VEN0039,12886000,2024-08-15,2024-10-17
CON0098,TEN0098,VEN0095,4273000,2022-11-13,2023-07-09
CON0099,TEN0099,VEN0049,1158000,2021-10-08,2022-02-04
CON0100,TEN0100,VEN0093,1141000,2022-10-05,2022-11-16
CON0101,TEN0101,VEN0066,7323000,2023-07-31,2024-01-16
CON0102,TEN0102,VEN0010,15113000,2021-04-08,2022-07-16
CON0103,TEN0103,VEN0084,3091000,2024-03-05,2024-09-18
CON0104,TEN0104,VEN0088,3995000,2023-03-06,2023-09-15
CON0105,TEN0105,VEN0091,4323000,2022-01-17,2022-02-21
CON0106,TEN0106,VEN0028,1852000,2021-03-29,2021-06-06
CON0107,TEN0107,VEN0042,479000,2024-07-22,2024-10-18
CON0108,TEN0108,VEN0099,1273000,2021-09-04,2021-10-29
CON0109,TEN0109,VEN0106,237000,2022-09-09,2022-11-24
CON0110,TEN0110,VEN0048,2263000,2022-09-14,2023-02-10
CON0111,TEN0111,VEN0077,5115000,2023-01-18,2023-09-10
CON0112,TEN0112,VEN0037,2030000,2022-01-08,2022-06-08
CON0113,TEN0113,VEN0016,284000,2023-12-29,2024-01-29
CON0114,TEN0114,VEN0076,3992000,2024-06-17,2024-08-16
CON0115,TEN0115,VEN0102,37787000,2025-01-16,2026-02-24
CON0116,TEN0116,VEN0030,711000,2022-03-03,2022-07-15
CON0117,TEN0117,VEN0056,13349000,2021-12-05,2023-11-03
CON0118,TEN0118,VEN0015,964000,2025-02-10,2025-03-17
CON0119,TEN0119,VEN0059,1409000,2022-12-09,2023-03-22
CON0120,TEN0120,VEN0080,1024000,2024-07-25,2024-09-04
CON0121,TEN0121,VEN0074,75711000,2024-02-18,2026-01-14
CON0122,TEN0122,VEN0020,423000,2022-07-21,2023-01-05
CON0123,TEN0123,VEN0038,3396000,2024-12-11,2025-07-08
CON0124,TEN0124,VEN0007,15337000,2025-02-05,2026-01-20
CON0125,TEN0125,VEN0038,5574000,2023-06-28,2024-03-22
CON0126,TEN0126,VEN0048,5546000,2023-11-19,2024-08-06
CON0127,TEN0127,VEN0068,6424000,2021-05-30,2022-04-04
CON0128,TEN0128,VEN0119,4885000,2021-03-12,2022-01-19
CON0129,TEN0129,VEN0064,3808000,2021-10-02,2021-11-21
CON0130,TEN0130,VEN0041,5303000,2024-06-16,2026-01-07
CON0131,TEN0131,VEN0026,111000,2024-03-26,2024-06-26
CON0132,TEN0132,VEN0014,1650000,2024-05-24,2024-07-16
CON0133,TEN0133,VEN0003,1236000,2022-08-26,2022-12-17
CON0134,TEN0134,VEN0047,2638000,2024-08-12,2024-12-15
CON0135,TEN0135,VEN0022,7779000,2022-05-16,2022-11-11
CON0136,TEN0136,VEN0025,117000,2024-11-11,2025-02-01
CON0137,TEN0137,VEN0115,3867000,2024-05-15,2024-10-18
CON0138,TEN0138,VEN0075,1836000,2022-02-22,2022-06-17
CON0139,TEN0139,VEN0052,29879000,2021-03-10,2022-01-29
CON0140,TEN0140,VEN0045,29258000,2021-10-19,2022-05-01
CON0141,TEN0141,VEN0120,8007000,2024-09-04,2026-07-27
CON0142,TEN0142,VEN0019,6431000,2022-06-11,2022-11-28
CON0143,TEN0143,VEN0061,4957000,2022-07-21,2023-03-06
CON0144,TEN0144,VEN0002,367000,2023-02-16,2023-06-11
CON0145,TEN0145,VEN0072,11075000,2024-06-19,2025-06-21
CON0146,TEN0146,VEN0077,10293000,2024-08-08,2025-02-25
CON0147,TEN0147,VEN0041,7502000,2023-05-25,2023-12-27
CON0148,TEN0148,VEN0115,6064000,2021-07-30,2022-01-25
CON0149,TEN0149,VEN0052,35520000,2022-02-13,2023-01-18
CON0150,TEN0150,VEN0028,4508000,2024-12-19,2025-09-12
CON0151,TEN0151,VEN0055,7938000,2024-05-21,2024-10-01
CON0152,TEN0152,VEN0070,1582000,2021-11-16,2022-01-31
CON0153,TEN0153,VEN0022,8671000,2025-01-05,2025-12-03
CON0154,TEN0154,VEN0002,353000,2024-02-16,2024-06-14
CON0155,TEN0155,VEN0038,3671000,2024-01-04,2024-03-08
CON0156,TEN0156,VEN0049,1302000,2025-02-06,2025-04-27
CON0157,TEN0157,VEN0036,2566000,2021-11-14,2023-01-26
CON0158,TEN0158,VEN0101,4986000,2024-10-01,2024-11-05
CON0159,TEN0159,VEN0087,26766000,2023-03-14,2023-12-11
CON0160,TEN0160,VEN0029,4029000,2025-01-26,2025-07-12
CON0161,TEN0161,VEN0100,3873000,2022-10-20,2024-10-18
CON0162,TEN0162,VEN0051,829000,2023-05-20,2023-07-22
CON0163,TEN0163,VEN0011,7192000,2021-03-05,2021-08-05
CON0164,TEN0164,VEN0021,1187000,2023-01-02,2023-05-15
CON0165,TEN0165,VEN0022,786000,2025-01-02,2025-10-18
CON0166,TEN0166,VEN0011,859000,2024-11-09,2025-03-07
CON0167,TEN0167,VEN0058,20705000,2022-12-12,2024-11-14
CON0168,TEN0168,VEN0111,13794000,2024-04-25,2025-01-29
CON0169,TEN0169,VEN0044,1134000,2022-02-19,2022-08-02
CON0170,TEN0170,VEN0091,6580000,2022-04-29,2022-09-23
CON0171,TEN0171,VEN0111,9953000,2023-01-15,2023-07-06
CON0172,TEN0172,VEN0082,1429000,2022-08-10,2023-02-06
CON0173,TEN0173,VEN0078,13022000,2022-06-14,2022-11-10
CON0174,TEN0174,VEN0044,5987000,2024-05-25,2025-03-02
CON0175,TEN0175,VEN0102,2884000,2024-05-26,2025-09-13
CON0176,TEN0176,VEN0102,18662000,2024-01-08,2025-12-31
CON0177,TEN0177,VEN0066,8319000,2022-09-10,2022-12-13
CON0178,TEN0178,VEN0029,5120000,2021-04-16,2021-05-20
CON0179,TEN0179,VEN0061,4710000,2023-05-21,2023-07-14
CON0180,TEN0180,VEN0004,776000,2024-07-20,2024-12-18
CON0181,TEN0181,VEN0026,1564000,2022-12-25,2023-02-24
CON0182,TEN0182,VEN0084,5121000,2023-04-30,2024-04-08
CON0183,TEN0183,VEN0044,8827000,2023-04-24,2023-10-05
CON0184,TEN0184,VEN0047,7779000,2021-08-27,2021-11-22
CON0185,TEN0185,VEN0061,2631000,2023-06-25,2024-03-09
CON0186,TEN0186,VEN0096,6989000,2022-02-15,2022-09-11
CON0187,TEN0187,VEN0111,541000,2021-05-25,2021-09-17
CON0188,TEN0188,VEN0036,10182000,2022-03-10,2022-09-26
CON0189,TEN0189,VEN0020,6736000,2024-09-30,2024-12-27
CON0190,TEN0190,VEN0058,28849000,2023-09-25,2024-07-25
CON0191,TEN0191,VEN0084,2483000,2021-07-04,2022-06-28
CON0192,TEN0192,VEN0097,5846000,2024-11-27,2025-04-11
CON0193,TEN0193,VEN0016,1482000,2024-10-28,2024-12-31
CON0194,TEN0194,VEN0047,7152000,2022-08-20,2023-01-15
CON0195,TEN0195,VEN0050,1002000,2022-04-12,2022-06-10
CON0196,TEN0196,VEN0007,33399000,2022-05-20,2024-01-24
CON0197,TEN0197,VEN0008,1595000,2024-11-17,2025-02-13
CON0198,TEN0198,VEN0028,297000,2021-07-26,2021-09-18
CON0199,TEN0199,VEN0019,4961000,2023-05-19,2023-10-09
CON0200,TEN0200,VEN0007,40734000,2023-11-03,2025-09-18
CON0201,TEN0201,VEN0108,1946000,2023-08-11,2023-10-18
CON0202,TEN0202,VEN0005,3452000,2023-05-20,2023-11-14
CON0203,TEN0203,VEN0091,3871000,2021-06-13,2021-07-23
CON0204,TEN0204,VEN0003,1031000,2021-09-17,2022-01-10
CON0205,TEN0205,VEN0005,3591000,2025-02-24,2025-04-12
CON0206,TEN0206,VEN0063,12063000,2021-06-01,2022-02-09
CON0207,TEN0207,VEN0119,3872000,2024-01-02,2024-07-16
CON0208,TEN0208,VEN0115,362000,2022-01-22,2022-07-05
CON0209,TEN0209,VEN0106,1248000,2022-06-18,2022-09-06
CON0210,TEN0210,VEN0002,1408000,2024-02-29,2024-05-20
CON0211,TEN0211,VEN0081,6876000,2021-09-02,2022-02-14
CON0212,TEN0212,VEN0075,120000,2024-01-10,2024-04-18
CON0213,TEN0213,VEN0097,507000,2023-04-05,2024-01-28
CON0214,TEN0214,VEN0041,17536000,2023-09-18,2024-05-08
CON0215,TEN0215,VEN0009,6852000,2023-09-06,2023-11-24
CON0216,TEN0216,VEN0016,646000,2022-04-26,2022-08-23
CON0217,TEN0217,VEN0113,598000,2021-06-29,2021-11-22
CON0218,TEN0218,VEN0081,5614000,2023-03-18,2023-07-14
CON0219,TEN0219,VEN0094,4874000,2022-04-24,2023-01-08
CON0220,TEN0220,VEN0033,32145000,2023-06-14,2025-03-22
CON0221,TEN0221,VEN0080,124000,2022-04-22,2022-08-19
CON0222,TEN0222,VEN0032,8179000,2023-07-29,2023-10-29
CON0223,TEN0223,VEN0062,1205000,2025-02-23,2025-04-12
CON0224,TEN0224,VEN0038,7021000,2022-11-01,2023-07-26
CON0225,TEN0225,VEN0001,33226000,2022-10-19,2024-02-16
CON0226,TEN0226,VEN0096,2886000,2021-06-21,2021-08-28
CON0227,TEN0227,VEN0042,680000,2022-11-08,2023-01-05
CON0228,TEN0228,VEN0100,46343000,2023-05-21,2024-08-04
CON0229,TEN0229,VEN0046,4254000,2021-08-26,2022-07-23
CON0230,TEN0230,VEN0048,839000,2022-03-23,2022-05-14
CON0231,TEN0231,VEN0035,2752000,2024-11-10,2025-10-24
CON0232,TEN0232,VEN0025,1397000,2025-01-09,2025-03-20
CON0233,TEN0233,VEN0004,4694000,2024-11-25,2025-03-09
CON0234,TEN0234,VEN0077,10914000,2024-05-20,2024-09-17
CON0235,TEN0235,VEN0023,20330000,2023-08-10,2024-09-27
CON0236,TEN0236,VEN0093,4814000,2021-07-30,2021-10-10
CON0237,TEN0237,VEN0023,35627000,2021-03-22,2021-10-29
CON0238,TEN0238,VEN0092,3225000,2024-11-08,2025-04-12
CON0239,TEN0239,VEN0110,593000,2023-11-19,2024-01-30
CON0240,TEN0240,VEN0011,3390000,2022-01-14,2022-06-15
CON0241,TEN0241,VEN0008,839000,2024-08-21,2024-11-30
CON0242,TEN0242,VEN0064,7466000,2023-07-18,2024-03-11
CON0243,TEN0243,VEN0110,1290000,2023-07-30,2023-10-02
CON0244,TEN0244,VEN0021,8241000,2023-10-25,2024-03-27
CON0245,TEN0245,VEN0066,1522000,2024-03-27,2024-11-07
CON0246,TEN0246,VEN0047,7422000,2022-08-07,2022-12-20
CON0247,TEN0247,VEN0052,8486000,2021-07-04,2022-12-01
CON0248,TEN0248,VEN0111,2138000,2021-07-17,2021-10-24
CON0249,TEN0249,VEN0049,1466000,2021-08-11,2021-09-14
CON0250,TEN0250,VEN0108,802000,2022-11-11,2023-03-08
CON0251,TEN0251,VEN0077,2185000,2022-05-20,2023-02-23
CON0252,TEN0252,VEN0056,32988000,2021-10-06,2023-03-30
CON0253,TEN0253,VEN0097,6437000,2021-04-23,2021-07-30
CON0254,TEN0254,VEN0060,727000,2021-06-22,2021-10-02
CON0255,TEN0255,VEN0102,37183000,2022-01-27,2022-08-05
CON0256,TEN0256,VEN0092,4913000,2021-12-02,2022-07-14
CON0257,TEN0257,VEN0085,1477000,2023-02-11,2023-06-11
CON0258,TEN0258,VEN0018,11479000,2021-09-14,2022-06-09
CON0259,TEN0259,VEN0002,1569000,2024-10-06,2024-12-08
CON0260,TEN0260,VEN0039,5485000,2022-01-20,2022-12-01
CON0261,TEN0261,VEN0104,14176000,2023-03-03,2024-07-27
CON0262,TEN0262,VEN0022,2050000,2024-07-28,2025-01-15
CON0263,TEN0263,VEN0110,108000,2021-09-21,2022-01-05
CON0264,TEN0264,VEN0001,30526000,2021-10-12,2023-05-06
CON0265,TEN0265,VEN0010,40763000,2021-05-25,2021-12-05
CON0266,TEN0266,VEN0039,4816000,2022-02-24,2022-09-02
CON0267,TEN0267,VEN0059,1470000,2024-02-26,2024-04-17
CON0268,TEN0268,VEN0030,6067000,2025-01-27,2025-04-29
CON0269,TEN0269,VEN0028,5365000,2022-02-25,2022-06-14
CON0270,TEN0270,VEN0107,841000,2024-08-13,2024-10-28
CON0271,TEN0271,VEN0037,5151000,2024-05-03,2025-03-21
CON0272,TEN0272,VEN0038,1685000,2021-12-10,2022-01-17
CON0273,TEN0273,VEN0101,4322000,2022-06-05,2022-09-29
CON0274,TEN0274,VEN0091,342000,2022-07-29,2022-12-27
CON0275,TEN0275,VEN0042,654000,2024-01-10,2024-04-04
CON0276,TEN0276,VEN0111,2228000,2022-12-18,2023-04-17
CON0277,TEN0277,VEN0064,10431000,2023-09-23,2024-06-29
CON0278,TEN0278,VEN0042,1640000,2023-06-02,2023-09-03
CON0279,TEN0279,VEN0018,22109000,2021-10-05,2023-01-22
CON0280,TEN0280,VEN0018,24605000,2024-05-25,2026-02-23
CON0281,TEN0281,VEN0062,1868000,2024-08-02,2024-11-07
CON0282,TEN0282,VEN0049,57000,2022-07-12,2022-10-14
CON0283,TEN0283,VEN0061,5283000,2024-03-09,2024-09-10
CON0284,TEN0284,VEN0111,12106000,2023-08-21,2024-05-23
CON0285,TEN0285,VEN0096,10155000,2023-08-11,2024-06-01
CON0286,TEN0286,VEN0046,2603000,2024-07-22,2025-07-10
CON0287,TEN0287,VEN0012,4334000,2023-05-18,2023-08-15
CON0288,TEN0288,VEN0022,8760000,2022-09-06,2023-07-16
CON0289,TEN0289,VEN0092,3836000,2022-05-31,2023-01-27
CON0290,TEN0290,VEN0096,5867000,2022-12-04,2023-05-24
CON0291,TEN0291,VEN0081,1731000,2021-10-20,2022-05-04
CON0292,TEN0292,VEN0064,5431000,2021-12-04,2022-06-13
CON0293,TEN0293,VEN0015,855000,2023-10-01,2023-12-14
CON0294,TEN0294,VEN0053,686000,2021-09-23,2021-11-23
CON0295,TEN0295,VEN0013,1173000,2023-02-08,2023-03-17
CON0296,TEN0296,VEN0084,1424000,2022-02-11,2022-03-30
CON0297,TEN0297,VEN0012,2568000,2024-05-29,2024-11-28
CON0298,TEN0298,VEN0010,8374000,2023-11-03,2025-02-21
CON0299,TEN0299,VEN0067,6550000,2022-01-21,2022-11-06
CON0300,TEN0300,VEN0037,2014000,2022-02-26,2022-11-29
CON0301,TEN0301,VEN0077,4218000,2022-03-24,2023-01-19
CON0302,TEN0302,VEN0061,1177000,2023-10-10,2024-06-03
CON0303,TEN0303,VEN0014,900000,2021-04-13,2021-07-13
CON0304,TEN0304,VEN0011,1895000,2021-12-21,2022-04-07
CON0305,TEN0305,VEN0064,4842000,2024-05-18,2024-09-09
CON0306,TEN0306,VEN0048,3348000,2024-05-17,2025-03-17
CON0307,TEN0307,VEN0036,44001000,2024-11-28,2026-11-13
CON0308,TEN0308,VEN0064,6417000,2023-10-23,2024-03-15
CON0309,TEN0309,VEN0013,1233000,2022-11-09,2023-01-24
CON0310,TEN0310,VEN0028,3702000,2024-09-19,2024-12-31
CON0311,TEN0311,VEN0012,5580000,2023-12-16,2024-10-10
CON0312,TEN0312,VEN0041,5404000,2024-01-13,2024-08-29
CON0313,TEN0313,VEN0061,2391000,2023-11-14,2024-10-28
CON0314,TEN0314,VEN0104,42379000,2024-11-11,2026-07-16
CON0315,TEN0315,VEN0066,6728000,2021-08-06,2022-06-23
CON0316,TEN0316,VEN0079,2952000,2024-06-10,2024-11-29
CON0317,TEN0317,VEN0051,273000,2021-05-21,2021-07-12
CON0318,TEN0318,VEN0084,1381000,2022-06-01,2022-08-31
CON0319,TEN0319,VEN0046,823000,2024-02-22,2025-01-31
CON0320,TEN0320,VEN0079,7135000,2022-08-23,2023-01-01
CON0321,TEN0321,VEN0112,940000,2022-07-10,2022-09-08
CON0322,TEN0322,VEN0034,9426000,2024-04-21,2024-06-23
CON0323,TEN0323,VEN0033,17370000,2022-07-03,2023-08-15
CON0324,TEN0324,VEN0096,10755000,2023-03-06,2023-07-24
CON0325,TEN0325,VEN0087,18566000,2023-12-28,2024-10-03
CON0326,TEN0326,VEN0098,426000,2025-01-04,2025-03-02
CON0327,TEN0327,VEN0092,4616000,2023-08-23,2024-04-27
CON0328,TEN0328,VEN0103,4566000,2022-10-12,2023-04-26
CON0329,TEN0329,VEN0068,15486000,2023-02-19,2023-08-22
CON0330,TEN0330,VEN0012,3222000,2022-05-02,2022-07-02
CON0331,TEN0331,VEN0036,9100000,2022-11-25,2023-09-15
CON0332,TEN0332,VEN0041,4696000,2024-02-10,2025-11-18
CON0333,TEN0333,VEN0043,227000,2024-07-10,2024-10-28
CON0334,TEN0334,VEN0111,8862000,2024-07-05,2024-12-13
CON0335,TEN0335,VEN0066,9922000,2021-12-11,2022-08-23
CON0336,TEN0336,VEN0104,42386000,2021-08-05,2023-04-25
CON0337,TEN0337,VEN0036,29913000,2024-04-22,2025-04-25
CON0338,TEN0338,VEN0097,7657000,2021-12-13,2022-11-23
CON0339,TEN0339,VEN0050,1470000,2021-11-25,2021-12-25
CON0340,TEN0340,VEN0023,13073000,2021-12-30,2023-05-23
CON0341,TEN0341,VEN0064,5039000,2023-08-03,2024-03-04
CON0342,TEN0342,VEN0087,4780000,2022-04-27,2023-12-22
CON0343,TEN0343,VEN0019,2638000,2022-03-11,2023-01-09
CON0344,TEN0344,VEN0075,1202000,2024-01-14,2024-02-26
CON0345,TEN0345,VEN0034,493000,2024-10-21,2025-02-11
CON0346,TEN0346,VEN0119,10992000,2023-11-24,2024-05-27
CON0347,TEN0347,VEN0090,5494000,2024-04-04,2024-09-30
CON0348,TEN0348,VEN0022,10606000,2022-02-26,2022-05-22
CON0349,TEN0349,VEN0052,49519000,2024-09-09,2026-05-30
CON0350,TEN0350,VEN0040,143000,2024-01-03,2024-02-21
CON0351,TEN0351,VEN0035,3640000,2021-09-11,2021-12-31
CON0352,TEN0352,VEN0017,1906000,2025-02-09,2025-07-06
CON0353,TEN0353,VEN0071,1660000,2021-03-30,2021-07-16
CON0354,TEN0354,VEN0068,21495000,2022-01-07,2022-05-30
CON0355,TEN0355,VEN0035,2268000,2023-12-14,2024-04-02
CON0356,TEN0356,VEN0041,17190000,2024-09-09,2026-01-21
CON0357,TEN0357,VEN0059,1291000,2024-09-27,2024-11-11
CON0358,TEN0358,VEN0072,13639000,2021-11-20,2023-11-18
CON0359,TEN0359,VEN0119,911000,2021-06-06,2022-03-18
CON0360,TEN0360,VEN0061,1190000,2024-07-25,2025-07-07
CON0361,TEN0361,VEN0019,3914000,2023-10-12,2024-07-16
CON0362,TEN0362,VEN0054,2887000,2024-08-09,2024-10-27
CON0363,TEN0363,VEN0034,3769000,2021-11-09,2022-02-09
CON0364,TEN0364,VEN0034,10283000,2024-09-23,2025-03-11
CON0365,TEN0365,VEN0034,782000,2023-11-28,2024-01-05
CON0366,TEN0366,VEN0020,2068000,2022-08-31,2023-01-26
CON0367,TEN0367,VEN0109,5656000,2023-11-07,2024-04-25
CON0368,TEN0368,VEN0060,1251000,2021-07-13,2021-09-15
CON0369,TEN0369,VEN0109,6559000,2022-05-07,2022-08-02
CON0370,TEN0370,VEN0084,5167000,2023-04-18,2024-02-21
CON0371,TEN0371,VEN0006,1211000,2023-12-18,2024-03-17
CON0372,TEN0372,VEN0063,13009000,2024-09-21,2025-03-10
CON0373,TEN0373,VEN0048,4921000,2023-10-03,2024-09-09
CON0374,TEN0374,VEN0058,3633000,2022-09-13,2024-02-21
CON0375,TEN0375,VEN0067,7356000,2022-12-25,2023-08-24
CON0376,TEN0376,VEN0031,3681000,2021-06-04,2021-07-19
CON0377,TEN0377,VEN0111,8744000,2024-01-15,2024-04-05
CON0378,TEN0378,VEN0015,651000,2021-10-22,2022-01-20
CON0379,TEN0379,VEN0022,1758000,2024-12-13,2025-06-27
CON0380,TEN0380,VEN0005,2118000,2024-08-09,2024-09-16
CON0381,TEN0381,VEN0049,890000,2023-12-17,2024-02-29
CON0382,TEN0382,VEN0097,9258000,2023-12-19,2024-08-12
CON0383,TEN0383,VEN0074,32968000,2024-05-06,2025-08-04
CON0384,TEN0384,VEN0027,3673000,2022-08-12,2023-01-30
CON0385,TEN0385,VEN0089,1381000,2022-07-11,2022-09-05
CON0386,TEN0386,VEN0062,661000,2022-07-10,2022-08-11
CON0387,TEN0387,VEN0041,9230000,2024-01-27,2025-06-08
CON0388,TEN0388,VEN0082,4098000,2021-07-21,2021-12-08
CON0389,TEN0389,VEN0103,5070000,2024-11-16,2025-03-15
CON0390,TEN0390,VEN0095,2166000,2022-08-23,2023-04-04
CON0391,TEN0391,VEN0060,101000,2021-07-10,2021-09-13
CON0392,TEN0392,VEN0115,5948000,2022-03-24,2022-07-02
CON0393,TEN0393,VEN0111,13890000,2024-08-28,2025-01-09
CON0394,TEN0394,VEN0054,7299000,2023-08-03,2023-12-03
CON0395,TEN0395,VEN0003,1732000,2021-03-22,2021-07-13
CON0396,TEN0396,VEN0074,2281000,2021-08-27,2023-06-02
CON0397,TEN0397,VEN0100,6851000,2021-11-17,2022-07-09
CON0398,TEN0398,VEN0057,6201000,2023-01-21,2023-05-30
CON0399,TEN0399,VEN0093,6576000,2023-11-14,2024-06-06
