tender_id,department,tender_category,tender_title,estimated_value,tender_date,submission_deadline,contract_duration_days,procurement_method,location
TEN0077,Public Works,Construction,Road Construction Project - Public Works,28964000,2023-12-30,2024-02-20,381,Open Tender,Meridian City
TEN0078,Health,Office Supplies,Stationery Supply - Health,1818000,2021-11-29,2022-01-12,48,Single Vendor,Rosedale
TEN0079,Education,Consulting,Financial Audit Services - Education,7552000,2021-02-18,2021-03-10,316,Open Tender,Lakeside
TEN0080,Education,Consulting,Policy Advisory Services - Education,5570000,2021-01-07,2021-02-19,316,Open Tender,Eastwood
TEN0081,Health,Construction,Drainage System Upgrade - Health,11191000,2023-12-14,2024-01-09,361,Open Tender,Northgate
TEN0082,Education,Construction,Drainage System Upgrade - Education,27983000,2024-12-03,2025-01-14,366,Open Tender,Fairhaven
TEN0083,Health,Medical Supplies,Hospital Consumables Supply - Health,4600000,2023-09-23,2023-11-05,42,Open Tender,Rosedale
TEN0084,Public Works,Construction,Drainage System Upgrade - Public Works,17297000,2022-03-10,2022-04-05,622,Open Tender,Brookfield
TEN0085,Transport,Medical Supplies,Medical Equipment Supply - Transport,733000,2023-09-18,2023-10-06,81,Limited Tender,Lakeside
TEN0086,Education,Construction,Bridge Construction - Education,19015000,2024-12-23,2025-02-09,301,Open Tender,Lakeside
TEN0087,Education,Consulting,Policy Advisory Services - Education,1278000,2021-09-02,2021-09-17,129,Open Tender,Lakeside
TEN0088,Public Works,Construction,Drainage System Upgrade - Public Works,3093000,2021-02-07,2021-03-03,566,Open Tender,Northgate
TEN0089,Transport,Office Supplies,Office Furniture Supply - Transport,1950000,2022-05-22,2022-06-27,90,Limited Tender,Meridian City
TEN0090,Education,Medical Supplies,Pharmaceutical Supply - Education,9971000,2022-04-21,2022-05-30,36,Open Tender,Lakeside
TEN0091,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,1696000,2021-05-13,2021-07-03,99,Open Tender,Brookfield
TEN0092,Public Works,Office Supplies,Office Furniture Supply - Public Works,1025000,2023-09-08,2023-10-31,60,Open Tender,Meridian City
TEN0093,Health,Medical Supplies,Ambulance Procurement - Health,7345000,2024-12-31,2025-01-31,84,Single Vendor,Rosedale
TEN0094,Education,IT Services,Data Center Setup - Education,5054000,2023-03-09,2023-04-07,181,Open Tender,Fairhaven
TEN0095,Public Works,IT Services,Software Development Services - Public Works,6341000,2022-07-04,2022-08-26,273,Limited Tender,Brookfield
TEN0096,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,7639000,2021-08-16,2021-09-18,159,Framework Agreement,Lakeside
TEN0097,Health,IT Services,Network Maintenance Services - Health,13324000,2024-06-24,2024-07-17,63,Limited Tender,Clearwater
TEN0098,Health,Consulting,Policy Advisory Services - Health,5090000,2022-09-17,2022-10-21,238,Single Vendor,Rosedale
TEN0099,Health,Office Supplies,Office Furniture Supply - Health,1363000,2021-08-07,2021-09-14,119,Single Vendor,Meridian City
TEN0100,Public Works,Consulting,Policy Advisory Services - Public Works,1296000,2022-07-16,2022-09-09,42,Open Tender,Fairhaven
TEN0101,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,8103000,2023-06-07,2023-07-12,169,Open Tender,Clearwater
TEN0102,Health,Construction,Drainage System Upgrade - Health,18608000,2021-03-04,2021-03-25,464,Open Tender,Northgate
TEN0103,Health,Consulting,Policy Advisory Services - Health,3874000,2023-12-06,2024-02-04,197,Limited Tender,Lakeside
TEN0104,Education,IT Services,Software Development Services - Education,3919000,2023-01-28,2023-02-17,193,Open Tender,Clearwater
TEN0105,Transport,Medical Supplies,Pharmaceutical Supply - Transport,4881000,2021-10-23,2021-12-22,35,Open Tender,Brookfield
TEN0106,Transport,Consulting,Training and Capacity Building - Transport,1991000,2021-02-12,2021-03-14,69,Open Tender,Meridian City
TEN0107,IT & Digital Services,Office Supplies,Stationery Supply - IT & Digital Services,564000,2024-05-21,2024-06-27,88,Open Tender,Fairhaven
TEN0108,Public Works,Office Supplies,Printer and Consumables Supply - Public Works,1428000,2021-06-25,2021-08-08,55,Open Tender,Eastwood
TEN0109,Transport,Office Supplies,Printer and Consumables Supply - Transport,256000,2022-06-25,2022-08-18,76,Framework Agreement,Rosedale
TEN0110,Public Works,Consulting,Training and Capacity Building - Public Works,2539000,2022-07-05,2022-08-31,149,Framework Agreement,Clearwater
TEN0111,Public Works,IT Services,Network Maintenance Services - Public Works,5590000,2022-11-11,2023-01-05,235,Framework Agreement,Northgate
TEN0112,IT & Digital Services,Consulting,Technical Consulting Services - IT & Digital Services,1340000,2021-11-25,2021-12-24,151,Framework Agreement,Meridian City
TEN0113,Health,Office Supplies,Office Equipment Procurement - Health,379000,2023-11-07,2023-12-11,31,Single Vendor,Meridian City
TEN0114,Education,Medical Supplies,Pharmaceutical Supply - Education,5003000,2024-04-16,2024-05-23,60,Open Tender,Lakeside
TEN0115,IT & Digital Services,Construction,Road Construction Project - IT & Digital Services,25061000,2024-10-26,2024-12-19,404,Open Tender,Rosedale
TEN0116,Education,Medical Supplies,Medical Equipment Supply - Education,527000,2022-01-06,2022-02-10,134,Open Tender,Fairhaven
TEN0117,Transport,Construction,Road Construction Project - Transport,16427000,2021-09-30,2021-11-12,698,Framework Agreement,Fairhaven
TEN0118,IT & Digital Services,Office Supplies,Printer and Consumables Supply - IT & Digital Services,1189000,2024-12-15,2025-01-22,35,Open Tender,Eastwood
TEN0119,Transport,Office Supplies,Printer and Consumables Supply - Transport,1749000,2022-10-17,2022-11-14,103,Limited Tender,Fairhaven
TEN0120,Transport,Office Supplies,Stationery Supply - Transport,1131000,2024-06-20,2024-07-15,41,Open Tender,Lakeside
TEN0121,Public Works,Construction,Drainage System Upgrade - Public Works,48017000,2024-01-15,2024-02-03,696,Framework Agreement,Rosedale
TEN0122,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,542000,2022-06-14,2022-07-05,168,Framework Agreement,Meridian City
TEN0123,Education,Consulting,Technical Consulting Services - Education,3919000,2024-11-02,2024-11-25,209,Limited Tender,Meridian City
TEN0124,Health,Construction,Bridge Construction - Health,20449000,2024-12-09,2025-01-08,349,Open Tender,Meridian City
TEN0125,Public Works,Consulting,Training and Capacity Building - Public Works,6826000,2023-05-05,2023-06-09,268,Open Tender,Brookfield
TEN0126,Public Works,Consulting,Technical Consulting Services - Public Works,7220000,2023-10-20,2023-11-10,261,Open Tender,Fairhaven
TEN0127,Public Works,IT Services,Software Development Services - Public Works,7299000,2021-03-24,2021-05-12,309,Framework Agreement,Meridian City
TEN0128,Public Works,IT Services,IT Infrastructure Upgrade - Public Works,6291000,2021-01-14,2021-02-14,313,Open Tender,Eastwood
TEN0129,Health,Consulting,Technical Consulting Services - Health,5078000,2021-08-25,2021-09-14,50,Single Vendor,Eastwood
TEN0130,Health,Construction,Government Building Renovation - Health,6672000,2024-04-18,2024-05-24,570,Open Tender,Rosedale
TEN0131,IT & Digital Services,Office Supplies,Stationery Supply - IT & Digital Services,144000,2024-01-17,2024-03-11,92,Limited Tender,Eastwood
TEN0132,Transport,Office Supplies,Printer and Consumables Supply - Transport,1780000,2024-04-17,2024-05-15,53,Open Tender,Rosedale
TEN0133,Transport,Office Supplies,Office Furniture Supply - Transport,1445000,2022-06-05,2022-07-28,113,Open Tender,Brookfield
TEN0134,Education,Medical Supplies,Medical Equipment Supply - Education,2700000,2024-07-02,2024-07-17,125,Limited Tender,Clearwater
TEN0135,IT & Digital Services,IT Services,Software Development Services - IT & Digital Services,9110000,2022-04-18,2022-05-08,179,Single Vendor,Rosedale
TEN0136,IT & Digital Services,Office Supplies,Office Furniture Supply - IT & Digital Services,145000,2024-10-01,2024-10-23,82,Open Tender,Meridian City
TEN0137,IT & Digital Services,Medical Supplies,Pharmaceutical Supply - IT & Digital Services,4129000,2024-03-23,2024-05-05,156,Limited Tender,Rosedale
TEN0138,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,1226000,2022-01-04,2022-02-06,115,Open Tender,Meridian City
TEN0139,Transport,Construction,Bridge Construction - Transport,35365000,2021-01-11,2021-03-03,325,Single Vendor,Rosedale
TEN0140,Education,Construction,Government Building Renovation - Education,30366000,2021-09-05,2021-09-28,194,Open Tender,Clearwater
TEN0141,Public Works,Construction,Drainage System Upgrade - Public Works,9042000,2024-07-22,2024-08-21,691,Single Vendor,Fairhaven
TEN0142,Public Works,Consulting,Policy Advisory Services - Public Works,7455000,2022-04-27,2022-05-28,170,Limited Tender,Rosedale
TEN0143,IT & Digital Services,Consulting,Training and Capacity Building - IT & Digital Services,6448000,2022-05-31,2022-06-28,228,Open Tender,Clearwater
TEN0144,Education,Office Supplies,Stationery Supply - Education,388000,2023-01-19,2023-02-08,115,Open Tender,Meridian City
TEN0145,IT & Digital Services,Construction,Road Construction Project - IT & Digital Services,13469000,2024-04-27,2024-05-26,367,Open Tender,Clearwater
TEN0146,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,13724000,2024-06-15,2024-07-27,201,Open Tender,Fairhaven
TEN0147,Public Works,Construction,Government Building Renovation - Public Works,8296000,2023-04-14,2023-05-04,216,Open Tender,Rosedale
TEN0148,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,8086000,2021-06-05,2021-07-19,179,Limited Tender,Eastwood
TEN0149,Health,Construction,Bridge Construction - Health,45463000,2022-01-01,2022-02-05,339,Open Tender,Eastwood
TEN0150,Transport,Consulting,Training and Capacity Building - Transport,4733000,2024-10-04,2024-12-03,267,Limited Tender,Meridian City
TEN0151,Education,Medical Supplies,Hospital Consumables Supply - Education,9625000,2024-03-27,2024-04-23,133,Open Tender,Rosedale
TEN0152,Transport,Medical Supplies,Pharmaceutical Supply - Transport,1614000,2021-09-24,2021-10-28,76,Open Tender,Lakeside
TEN0153,Education,IT Services,IT Infrastructure Upgrade - Education,9302000,2024-11-18,2024-12-25,332,Open Tender,Northgate
TEN0154,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,444000,2023-12-19,2024-02-04,119,Open Tender,Rosedale
TEN0155,IT & Digital Services,Consulting,Financial Audit Services - IT & Digital Services,4895000,2023-11-04,2023-12-09,64,Limited Tender,Meridian City
TEN0156,Transport,Office Supplies,Office Furniture Supply - Transport,1702000,2024-12-28,2025-01-12,80,Open Tender,Clearwater
TEN0157,Education,Construction,Road Construction Project - Education,3135000,2021-10-02,2021-10-27,438,Limited Tender,Meridian City
TEN0158,Transport,Consulting,Policy Advisory Services - Transport,6566000,2024-07-28,2024-09-16,35,Framework Agreement,Fairhaven
TEN0159,Public Works,Construction,Government Building Renovation - Public Works,27983000,2023-01-02,2023-03-03,272,Open Tender,Meridian City
TEN0160,Education,Medical Supplies,Pharmaceutical Supply - Education,4834000,2024-12-09,2025-01-05,167,Open Tender,Northgate
TEN0161,Transport,Construction,Government Building Renovation - Transport,4269000,2022-09-07,2022-09-24,729,Open Tender,Northgate
TEN0162,Health,Office Supplies,Printer and Consumables Supply - Health,689000,2023-03-04,2023-04-27,63,Open Tender,Clearwater
TEN0163,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,7825000,2021-01-17,2021-02-25,153,Open Tender,Meridian City
TEN0164,Education,Medical Supplies,Pharmaceutical Supply - Education,1399000,2022-11-21,2022-12-08,133,Limited Tender,Fairhaven
TEN0165,IT & Digital Services,IT Services,IT Infrastructure Upgrade - IT & Digital Services,1048000,2024-10-26,2024-12-04,289,Open Tender,Eastwood
TEN0166,IT & Digital Services,Medical Supplies,Ambulance Procurement - IT & Digital Services,1145000,2024-10-14,2024-10-30,118,Limited Tender,Rosedale
TEN0167,Health,Construction,Government Building Renovation - Health,24876000,2022-10-04,2022-12-01,703,Open Tender,Meridian City
TEN0168,Transport,IT Services,Software Development Services - Transport,9516000,2024-03-05,2024-04-11,279,Open Tender,Fairhaven
TEN0169,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,1397000,2021-12-07,2022-01-23,164,Open Tender,Fairhaven
TEN0170,IT & Digital Services,Medical Supplies,Hospital Consumables Supply - IT & Digital Services,7623000,2022-03-16,2022-04-03,147,Open Tender,Rosedale
TEN0171,Education,IT Services,Data Center Setup - Education,11531000,2022-11-26,2022-12-27,172,Limited Tender,Meridian City
TEN0172,Education,Medical Supplies,Pharmaceutical Supply - Education,1559000,2022-05-22,2022-07-18,180,Open Tender,Northgate
TEN0173,Transport,IT Services,Network Maintenance Services - Transport,13133000,2022-04-09,2022-06-07,149,Single Vendor,Northgate
TEN0174,Education,IT Services,Data Center Setup - Education,7983000,2024-03-17,2024-05-06,281,Open Tender,Fairhaven
TEN0175,Education,Construction,Drainage System Upgrade - Education,2912000,2024-03-23,2024-05-12,475,Open Tender,Rosedale
TEN0176,Transport,Construction,Government Building Renovation - Transport,21394000,2023-11-24,2023-12-11,723,Limited Tender,Northgate
TEN0177,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,10087000,2022-07-24,2022-09-01,94,Open Tender,Rosedale
TEN0178,Transport,Medical Supplies,Ambulance Procurement - Transport,5373000,2021-02-22,2021-04-04,34,Limited Tender,Meridian City
TEN0179,Education,Consulting,Policy Advisory Services - Education,5354000,2023-04-17,2023-05-12,54,Single Vendor,Lakeside
TEN0180,Health,Medical Supplies,Ambulance Procurement - Health,791000,2024-05-08,2024-07-03,151,Open Tender,Rosedale
TEN0181,Health,Office Supplies,Printer and Consumables Supply - Health,1721000,2022-10-11,2022-12-02,61,Open Tender,Meridian City
TEN0182,IT & Digital Services,Consulting,Technical Consulting Services - IT & Digital Services,5914000,2023-02-12,2023-04-12,344,Limited Tender,Brookfield
TEN0183,IT & Digital Services,IT Services,IT Infrastructure Upgrade - IT & Digital Services,11442000,2023-02-20,2023-04-08,164,Single Vendor,Northgate
TEN0184,Health,Medical Supplies,Hospital Consumables Supply - Health,8577000,2021-06-18,2021-08-16,87,Open Tender,Clearwater
TEN0185,Health,Consulting,Financial Audit Services - Health,3185000,2023-04-25,2023-06-02,258,Open Tender,Eastwood
TEN0186,Transport,IT Services,Network Maintenance Services - Transport,7461000,2021-12-25,2022-02-03,208,Open Tender,Meridian City
TEN0187,Transport,IT Services,Network Maintenance Services - Transport,597000,2021-04-03,2021-05-07,115,Open Tender,Brookfield
TEN0188,Health,Construction,Bridge Construction - Health,10373000,2022-01-28,2022-02-16,200,Open Tender,Brookfield
TEN0189,Transport,Medical Supplies,Ambulance Procurement - Transport,6492000,2024-08-16,2024-09-01,88,Limited Tender,Northgate
TEN0190,Health,Construction,Government Building Renovation - Health,29524000,2023-08-16,2023-09-18,304,Open Tender,Meridian City
TEN0191,IT & Digital Services,Consulting,Policy Advisory Services - IT & Digital Services,2898000,2021-05-04,2021-06-22,359,Framework Agreement,Eastwood
TEN0192,IT & Digital Services,IT Services,IT Infrastructure Upgrade - IT & Digital Services,6732000,2024-10-27,2024-11-11,135,Limited Tender,Fairhaven
TEN0193,Health,Office Supplies,Printer and Consumables Supply - Health,1549000,2024-09-08,2024-10-19,64,Open Tender,Rosedale
TEN0194,Transport,Medical Supplies,Ambulance Procurement - Transport,7491000,2022-07-03,2022-08-06,148,Single Vendor,Northgate
TEN0195,Education,Office Supplies,Stationery Supply - Education,1082000,2022-02-16,2022-03-31,59,Open Tender,Meridian City
TEN0196,Health,Construction,Drainage System Upgrade - Health,30936000,2022-03-03,2022-04-25,614,Limited Tender,Brookfield
TEN0197,Transport,Office Supplies,Office Furniture Supply - Transport,1807000,2024-08-27,2024-10-20,88,Open Tender,Brookfield
TEN0198,Transport,Consulting,Policy Advisory Services - Transport,396000,2021-05-18,2021-07-09,54,Framework Agreement,Fairhaven
TEN0199,Education,Consulting,Policy Advisory Services - Education,5939000,2023-03-25,2023-05-10,143,Framework Agreement,Meridian City
TEN0200,Transport,Construction,Bridge Construction - Transport,41549000,2023-09-20,2023-10-05,685,Framework Agreement,Lakeside
TEN0201,IT & Digital Services,Office Supplies,Office Equipment Procurement - IT & Digital Services,1858000,2023-06-07,2023-08-04,68,Open Tender,Rosedale
TEN0202,Health,Medical Supplies,Hospital Consumables Supply - Health,3787000,2023-03-10,2023-04-23,178,Single Vendor,Brookfield
TEN0203,Health,Medical Supplies,Ambulance Procurement - Health,4439000,2021-05-12,2021-06-03,40,Open Tender,Brookfield
TEN0204,IT & Digital Services,Office Supplies,Stationery Supply - IT & Digital Services,1261000,2021-08-19,2021-09-06,115,Open Tender,Meridian City
TEN0205,Transport,Medical Supplies,Pharmaceutical Supply - Transport,4788000,2024-12-23,2025-02-15,47,Limited Tender,Meridian City
TEN0206,IT & Digital Services,IT Services,Network Maintenance Services - IT & Digital Services,14270000,2021-03-10,2021-05-03,253,Limited Tender,Clearwater
TEN0207,Transport,IT Services,Data Center Setup - Transport,4274000,2023-11-02,2023-12-09,196,Framework Agreement,Brookfield
TEN0208,Health,Medical Supplies,Medical Equipment Supply - Health,483000,2021-11-02,2022-01-01,164,Open Tender,Meridian City
TEN0209,Education,Office Supplies,Printer and Consumables Supply - Education,1344000,2022-05-06,2022-05-25,80,Open Tender,Brookfield
TEN0210,Transport,Office Supplies,Stationery Supply - Transport,1877000,2024-01-30,2024-02-20,81,Open Tender,Lakeside
TEN0211,Health,Consulting,Financial Audit Services - Health,7902000,2021-07-03,2021-08-21,165,Open Tender,Lakeside
TEN0212,Health,Office Supplies,Printer and Consumables Supply - Health,116000,2023-11-08,2024-01-01,99,Limited Tender,Fairhaven
TEN0213,Transport,IT Services,Data Center Setup - Transport,654000,2023-01-23,2023-03-24,298,Limited Tender,Eastwood
TEN0214,Health,Construction,Bridge Construction - Health,20085000,2023-07-14,2023-09-01,233,Open Tender,Rosedale
TEN0215,IT & Digital Services,IT Services,Data Center Setup - IT & Digital Services,8303000,2023-07-03,2023-08-26,79,Limited Tender,Brookfield
TEN0216,Transport,Office Supplies,Stationery Supply - Transport,776000,2022-03-20,2022-04-08,119,Limited Tender,Meridian City
