bid_id,tender_id,vendor_id,bid_amount,submission_time,is_winner
BID000069,TEN0012,VEN0067,3172000,2022-06-16 12:45:47,True
BID000070,TEN0012,VEN0046,3423000,2022-06-16 17:27:39,False
BID000071,TEN0012,VEN0064,4381000,2022-06-01 17:26:34,False
BID000072,TEN0013,VEN0116,2027000,2021-12-09 09:31:14,False
BID000073,TEN0013,VEN0055,1929000,2021-12-10 09:35:59,False
BID000074,TEN0013,VEN0027,1859000,2021-12-05 11:29:22,False
BID000075,TEN0013,VEN0047,2845000,2021-12-04 17:15:46,True
BID000076,TEN0013,VEN0021,1908000,2021-12-06 16:09:26,False
BID000077,TEN0013,VEN0020,2199000,2021-12-11 13:24:02,False
BID000078,TEN0013,VEN0017,2153000,2021-12-18 13:21:10,False
BID000079,TEN0013,VEN0091,2156000,2021-12-11 17:55:39,False
BID000080,TEN0014,VEN0073,10228000,2021-04-18 15:08:49,False
BID000081,TEN0014,VEN0109,10803000,2021-04-22 16:36:21,False
BID000082,TEN0014,VEN0065,10584000,2021-04-03 16:47:29,False
BID000083,TEN0014,VEN0070,9945000,2021-04-28 09:43:52,True
BID000084,TEN0015,VEN0068,11824000,2024-08-29 16:05:41,False
BID000085,TEN0015,VEN0111,13216000,2024-08-17 16:25:21,False
BID000086,TEN0015,VEN0077,13760000,2024-08-26 11:11:04,False
BID000087,TEN0015,VEN0022,11734000,2024-08-31 09:48:24,False
BID000088,TEN0015,VEN0039,10506000,2024-08-31 14:14:18,False
BID000089,TEN0015,VEN0078,10480000,2024-09-30 12:26:59,False
BID000090,TEN0015,VEN0119,10711000,2024-08-15 12:00:58,False
BID000091,TEN0015,VEN0063,9094000,2024-08-21 17:54:43,True
BID000092,TEN0016,VEN0078,7960000,2021-10-07 15:59:59,False
BID000093,TEN0016,VEN0119,8552000,2021-09-30 17:14:08,False
BID000094,TEN0016,VEN0063,6815000,2021-09-06 12:28:20,True
BID000095,TEN0016,VEN0077,7699000,2021-10-12 09:03:37,False
BID000096,TEN0016,VEN0066,8577000,2021-09-01 15:38:38,False
BID000097,TEN0016,VEN0068,7259000,2021-09-08 12:33:18,False
BID000098,TEN0016,VEN0096,6959000,2021-09-27 12:03:42,False
BID000099,TEN0016,VEN0088,6969000,2021-10-08 13:16:45,False
BID000100,TEN0017,VEN0059,1381000,2023-04-19 10:17:55,False
BID000101,TEN0017,VEN0075,1170000,2023-05-04 13:07:45,False
BID000102,TEN0017,VEN0080,981000,2023-04-16 15:25:10,True
BID000103,TEN0017,VEN0071,1250000,2023-04-16 13:15:38,False
BID000104,TEN0017,VEN0049,1220000,2023-04-25 09:22:06,False
BID000105,TEN0018,VEN0017,1246000,2023-12-16 15:19:47,False
BID000106,TEN0018,VEN0114,1745000,2023-12-11 17:52:50,True
BID000107,TEN0018,VEN0027,1157000,2023-12-02 11:00:27,False
BID000108,TEN0018,VEN0076,1184000,2023-11-26 15:00:17,False
BID000109,TEN0018,VEN0109,1127000,2023-11-27 12:33:20,False
BID000110,TEN0018,VEN0070,1599000,2023-12-15 14:41:44,False
BID000111,TEN0019,VEN0111,2662000,2021-03-12 14:49:55,False
BID000112,TEN0019,VEN0053,1949000,2021-04-13 17:10:53,True
BID000113,TEN0019,VEN0068,2187000,2021-03-03 12:43:14,False
BID000114,TEN0019,VEN0039,2720000,2021-04-07 14:07:22,False
BID000115,TEN0019,VEN0096,2619000,2021-03-19 10:19:49,False
BID000116,TEN0019,VEN0009,2432000,2021-03-19 16:51:06,False
BID000117,TEN0019,VEN0094,2757000,2021-04-16 00:00:00,False
BID000118,TEN0020,VEN0034,4296000,2023-09-14 13:54:53,False
BID000119,TEN0020,VEN0116,3778000,2023-09-24 15:32:24,False
BID000120,TEN0020,VEN0114,3272000,2023-09-23 15:33:32,True
BID000121,TEN0020,VEN0065,3723000,2023-09-30 00:00:00,False
BID000122,TEN0020,VEN0027,4256000,2023-09-20 15:04:27,False
BID000123,TEN0020,VEN0115,4458000,2023-09-17 17:18:29,False
BID000124,TEN0020,VEN0082,4620000,2023-09-17 10:21:48,False
BID000125,TEN0020,VEN0113,3322000,2023-09-15 17:41:53,False
BID000126,TEN0021,VEN0047,11795000,2025-01-01 10:55:07,True
BID000127,TEN0021,VEN0073,7882000,2024-12-03 15:07:25,False
BID000128,TEN0021,VEN0070,7268000,2025-01-07 00:00:00,False
BID000129,TEN0021,VEN0091,8807000,2024-12-05 13:19:56,False
BID000130,TEN0021,VEN0020,7451000,2024-12-06 11:59:27,False
BID000131,TEN0021,VEN0065,8346000,2024-12-13 16:52:06,False
BID000132,TEN0021,VEN0082,8855000,2025-01-03 17:59:44,False
BID000133,TEN0022,VEN0049,1237000,2024-05-20 12:38:02,True
BID000134,TEN0022,VEN0098,1662000,2024-05-17 14:25:00,False
BID000135,TEN0023,VEN0021,4856000,2022-07-14 15:16:38,True
BID000136,TEN0023,VEN0091,5561000,2022-07-06 16:33:09,False
BID000137,TEN0023,VEN0029,5122000,2022-07-18 16:57:31,False
BID000138,TEN0024,VEN0086,1588000,2021-09-24 10:01:19,False
BID000139,TEN0024,VEN0085,1895000,2021-09-13 09:19:23,False
BID000140,TEN0024,VEN0098,1846000,2021-09-26 11:52:15,True
BID000141,TEN0024,VEN0043,1448000,2021-09-24 15:05:44,False
BID000142,TEN0024,VEN0112,1698000,2021-09-10 11:31:33,False
BID000143,TEN0025,VEN0061,6047000,2023-05-05 15:09:17,False
BID000144,TEN0025,VEN0019,4577000,2023-05-22 15:10:05,True
BID000145,TEN0026,VEN0020,777000,2023-05-29 17:49:09,True
BID000146,TEN0026,VEN0005,901000,2023-06-26 15:18:29,False
BID000147,TEN0026,VEN0079,791000,2023-05-09 14:43:01,False
BID000148,TEN0026,VEN0076,818000,2023-05-17 17:01:42,False
BID000149,TEN0026,VEN0031,908000,2023-06-04 13:40:59,False
BID000150,TEN0026,VEN0109,783000,2023-06-01 12:39:41,False
BID000151,TEN0026,VEN0065,779000,2023-05-21 10:10:54,False
BID000152,TEN0026,VEN0114,847000,2023-06-02 11:09:13,False
BID000153,TEN0027,VEN0092,8951000,2023-10-06 00:00:00,True
BID000154,TEN0027,VEN0095,5419000,2023-08-30 16:52:07,False
BID000155,TEN0028,VEN0001,32109000,2024-02-24 15:48:29,False
BID000156,TEN0028,VEN0074,28797000,2024-02-19 10:05:33,True
BID000157,TEN0028,VEN0056,36725000,2024-02-25 17:01:13,False
BID000158,TEN0028,VEN0041,43299000,2024-02-20 15:36:15,False
BID000159,TEN0028,VEN0036,34479000,2024-03-01 16:52:56,False
BID000160,TEN0028,VEN0058,34609000,2024-03-02 13:50:08,False
BID000161,TEN0029,VEN0005,3383000,2023-09-20 09:27:52,True
BID000162,TEN0029,VEN0115,4154000,2023-10-13 09:12:07,False
BID000163,TEN0029,VEN0114,4093000,2023-10-02 14:32:34,False
BID000164,TEN0029,VEN0070,3887000,2023-09-20 10:05:01,False
BID000165,TEN0030,VEN0103,1890000,2023-06-28 15:30:25,True
BID000166,TEN0030,VEN0024,1932000,2023-07-12 12:06:44,False
BID000167,TEN0031,VEN0006,8022000,2022-09-30 09:49:22,False
BID000168,TEN0031,VEN0093,8019000,2022-10-11 10:46:43,True
BID000169,TEN0031,VEN0103,8074000,2022-10-18 12:26:04,False
BID000170,TEN0032,VEN0075,600000,2023-10-31 16:49:20,True
BID000171,TEN0032,VEN0059,728000,2023-11-08 11:23:54,False
BID000172,TEN0032,VEN0051,649000,2023-11-09 10:56:08,False
BID000173,TEN0033,VEN0040,1403000,2024-04-18 11:18:54,False
BID000174,TEN0033,VEN0059,1303000,2024-04-23 09:18:23,False
BID000175,TEN0033,VEN0042,1479000,2024-04-08 15:47:53,False
BID000176,TEN0033,VEN0106,1480000,2024-04-16 14:33:05,False
BID000177,TEN0033,VEN0071,1314000,2024-04-24 11:06:01,False
BID000178,TEN0033,VEN0051,1344000,2024-04-16 11:44:27,False
BID000179,TEN0033,VEN0002,1282000,2024-04-16 12:41:02,False
BID000180,TEN0033,VEN0008,1269000,2024-04-24 15:31:16,True
BID000181,TEN0034,VEN0036,13250000,2021-02-02 14:34:22,True
BID000182,TEN0034,VEN0056,13860000,2021-01-28 17:46:33,False
BID000183,TEN0034,VEN0001,18187000,2021-03-09 16:09:05,False
BID000184,TEN0034,VEN0104,16451000,2021-02-23 11:53:21,False
BID000185,TEN0034,VEN0074,15104000,2021-02-27 14:02:53,False
BID000186,TEN0035,VEN0006,4419000,2025-01-05 11:14:41,False
BID000187,TEN0035,VEN0012,5243000,2025-01-10 13:39:57,False
BID000188,TEN0035,VEN0095,4996000,2025-01-18 09:54:10,False
BID000189,TEN0035,VEN0084,4195000,2025-01-24 00:00:00,True
BID000190,TEN0035,VEN0103,5477000,2025-01-04 12:31:17,False
BID000191,TEN0035,VEN0090,5179000,2024-12-26 15:07:06,False
BID000192,TEN0035,VEN0064,4694000,2025-01-07 16:12:11,False
BID000193,TEN0035,VEN0028,4344000,2024-12-29 11:25:59,False
BID000194,TEN0036,VEN0044,674000,2021-10-21 11:54:45,False
BID000195,TEN0036,VEN0068,605000,2021-09-22 13:34:56,False
BID000196,TEN0036,VEN0039,883000,2021-09-30 15:27:15,False
BID000197,TEN0036,VEN0063,795000,2021-10-13 13:37:19,False
BID000198,TEN0036,VEN0077,558000,2021-09-17 14:03:26,True
BID000199,TEN0036,VEN0088,743000,2021-10-25 10:37:16,False
BID000200,TEN0037,VEN0104,7409000,2024-11-28 15:29:14,False
BID000201,TEN0037,VEN0083,4453000,2024-11-22 10:40:07,True
BID000202,TEN0038,VEN0115,8386000,2024-06-07 16:37:58,False
BID000203,TEN0038,VEN0030,8623000,2024-06-19 15:02:57,False
BID000204,TEN0038,VEN0070,8459000,2024-06-26 16:32:42,False
BID000205,TEN0038,VEN0076,8626000,2024-06-13 14:43:37,False
BID000206,TEN0038,VEN0017,9230000,2024-06-20 16:03:54,False
BID000207,TEN0038,VEN0020,9366000,2024-05-31 17:43:54,False
BID000208,TEN0038,VEN0004,6554000,2024-06-02 14:30:16,True
BID000209,TEN0038,VEN0109,8047000,2024-06-27 16:06:24,False
BID000210,TEN0039,VEN0084,7811000,2022-12-03 17:41:36,False
BID000211,TEN0039,VEN0038,6457000,2022-11-29 13:16:54,False
BID000212,TEN0039,VEN0019,11235000,2022-11-19 17:31:00,True
BID000213,TEN0039,VEN0090,7345000,2022-12-12 00:00:00,False
BID000214,TEN0039,VEN0092,7560000,2022-11-04 12:55:40,False
BID000215,TEN0040,VEN0016,1082000,2024-05-29 10:42:24,False
BID000216,TEN0040,VEN0105,1112000,2024-05-26 12:59:27,False
BID000217,TEN0040,VEN0089,1153000,2024-06-05 00:00:00,False
BID000218,TEN0040,VEN0106,1128000,2024-05-25 16:29:22,False
BID000219,TEN0040,VEN0080,1255000,2024-05-23 10:48:31,False
BID000220,TEN0040,VEN0071,1058000,2024-05-25 11:17:46,False
BID000221,TEN0040,VEN0098,945000,2024-05-17 16:20:29,True
BID000222,TEN0041,VEN0088,3505000,2021-03-26 09:47:36,False
BID000223,TEN0041,VEN0044,3353000,2021-02-21 16:40:32,True
BID000224,TEN0042,VEN0095,4703000,2023-04-01 13:06:04,False
BID000225,TEN0042,VEN0012,3887000,2023-03-26 17:27:14,False
BID000226,TEN0042,VEN0028,3497000,2023-03-22 17:10:53,True
BID000227,TEN0042,VEN0090,4184000,2023-03-30 17:36:42,False
BID000228,TEN0042,VEN0093,5161000,2023-04-08 14:24:03,False
BID000229,TEN0043,VEN0038,1080000,2021-07-19 09:50:02,True
BID000230,TEN0043,VEN0090,1158000,2021-06-30 09:33:10,False
BID000231,TEN0043,VEN0095,1120000,2021-07-28 11:05:54,False
BID000232,TEN0043,VEN0084,1424000,2021-07-11 11:50:29,False
BID000233,TEN0044,VEN0063,706000,2022-03-20 13:53:23,False
BID000234,TEN0044,VEN0032,724000,2022-03-08 17:35:58,False
BID000235,TEN0044,VEN0022,761000,2022-03-26 13:01:16,False
BID000236,TEN0044,VEN0097,700000,2022-02-28 15:52:46,False
BID000237,TEN0044,VEN0096,742000,2022-03-20 17:39:42,False
BID000238,TEN0044,VEN0111,669000,2022-02-18 16:10:04,True
BID000239,TEN0044,VEN0039,685000,2022-02-12 17:58:27,False
BID000240,TEN0045,VEN0089,2138000,2023-07-21 09:44:57,False
BID000241,TEN0045,VEN0014,1619000,2023-07-25 15:28:58,True
BID000242,TEN0045,VEN0105,1857000,2023-08-03 13:06:53,False
BID000243,TEN0045,VEN0051,1717000,2023-08-08 09:57:54,False
BID000244,TEN0046,VEN0099,552000,2024-10-26 16:23:08,True
BID000245,TEN0046,VEN0025,619000,2024-10-23 16:36:36,False
BID000246,TEN0047,VEN0050,1453000,2023-10-09 17:32:46,False
BID000247,TEN0047,VEN0015,1138000,2023-10-21 13:02:20,False
BID000248,TEN0047,VEN0085,1042000,2023-10-09 17:34:43,True
BID000249,TEN0047,VEN0002,1340000,2023-10-25 17:20:58,False
BID000250,TEN0048,VEN0081,6621000,2023-08-20 13:58:42,False
BID000251,TEN0048,VEN0037,5935000,2023-09-02 14:48:24,False
BID000252,TEN0048,VEN0012,6295000,2023-08-19 12:18:49,False
BID000253,TEN0048,VEN0019,6397000,2023-08-29 10:57:13,False
BID000254,TEN0048,VEN0064,7868000,2023-08-30 09:47:43,False
BID000255,TEN0048,VEN0093,5761000,2023-09-03 14:42:31,False
BID000256,TEN0048,VEN0103,5707000,2023-08-20 09:30:43,True
BID000257,TEN0049,VEN0020,6182000,2024-03-08 11:05:16,False
BID000258,TEN0049,VEN0004,5043000,2024-02-20 13:58:59,True
BID000259,TEN0049,VEN0029,6625000,2024-03-19 00:00:00,False
BID000260,TEN0050,VEN0053,4730000,2022-04-15 16:14:54,False
BID000261,TEN0050,VEN0039,5260000,2022-03-21 11:31:06,False
BID000262,TEN0050,VEN0119,6298000,2022-03-21 17:52:18,False
BID000263,TEN0050,VEN0094,4227000,2022-04-06 12:07:23,True
BID000264,TEN0050,VEN0009,5848000,2022-03-18 11:08:16,False
BID000265,TEN0050,VEN0063,5244000,2022-04-03 09:55:49,False
BID000266,TEN0050,VEN0096,6076000,2022-04-05 11:40:00,False
BID000267,TEN0050,VEN0078,4457000,2022-04-18 00:00:00,False
BID000268,TEN0051,VEN0001,16433000,2024-01-23 00:00:00,False
BID000269,TEN0051,VEN0083,12835000,2024-01-04 17:52:54,True
BID000270,TEN0051,VEN0010,16391000,2024-01-18 16:29:38,False
BID000271,TEN0052,VEN0099,213000,2024-05-17 09:06:54,False
BID000277,TEN0052,VEN0098,168000,2024-06-03 14:55:41,True
BID000278,TEN0053,VEN0110,1312000,2024-05-17 15:44:57,True
BID000279,TEN0053,VEN0025,1379000,2024-04-30 09:30:45,False
BID000280,TEN0053,VEN0040,1499000,2024-06-02 14:15:44,False
BID000283,TEN0054,VEN0058,36926000,2022-04-04 14:23:56,True
BID000285,TEN0054,VEN0023,48250000,2022-03-11 16:58:41,False
BID000287,TEN0055,VEN0064,8860000,2023-09-15 12:35:57,False
BID000288,TEN0055,VEN0092,7204000,2023-10-10 12:48:36,False
BID000289,TEN0055,VEN0095,8622000,2023-09-11 13:36:21,False
BID000290,TEN0055,VEN0090,7204000,2023-09-22 09:00:24,False
BID000291,TEN0055,VEN0012,7735000,2023-09-24 12:25:47,False
BID000292,TEN0055,VEN0024,6263000,2023-09-20 15:31:30,True
BID000293,TEN0055,VEN0035,6418000,2023-09-24 13:30:38,False
BID000294,TEN0056,VEN0047,4752000,2021-07-02 14:52:06,False
BID000295,TEN0056,VEN0115,4142000,2021-07-10 09:11:03,True
BID000296,TEN0057,VEN0074,50942000,2023-12-31 13:20:16,False
BID000297,TEN0057,VEN0118,41121000,2023-12-31 17:21:04,False
BID000298,TEN0057,VEN0102,36127000,2024-01-10 12:30:54,True
BID000299,TEN0057,VEN0087,51217000,2024-01-11 16:03:08,False
BID000300,TEN0058,VEN0068,13471000,2023-10-01 16:21:56,False
BID000301,TEN0058,VEN0063,12899000,2023-08-31 10:59:30,False
BID000302,TEN0058,VEN0088,13123000,2023-09-07 17:50:24,False
BID000303,TEN0058,VEN0022,12827000,2023-09-24 16:29:19,False
BID000304,TEN0058,VEN0096,12168000,2023-09-16 10:26:56,True
BID000305,TEN0058,VEN0094,14171000,2023-09-18 17:14:24,False
BID000306,TEN0058,VEN0119,14021000,2023-09-03 16:34:32,False
BID000307,TEN0059,VEN0022,15876000,2022-09-28 16:00:03,False
BID000308,TEN0059,VEN0096,12179000,2022-09-18 09:37:25,True
BID000309,TEN0059,VEN0044,13989000,2022-10-02 00:00:00,False
BID000310,TEN0059,VEN0039,15905000,2022-09-16 09:49:10,False
BID000311,TEN0059,VEN0032,15721000,2022-09-12 10:50:45,False
BID000312,TEN0060,VEN0077,10648000,2023-09-02 13:22:00,True
BID000313,TEN0060,VEN0078,14202000,2023-09-12 16:48:35,False
BID000314,TEN0060,VEN0094,13439000,2023-08-21 17:13:56,False
BID000315,TEN0060,VEN0066,16316000,2023-09-04 10:49:41,False
BID000316,TEN0060,VEN0063,15981000,2023-09-29 15:08:19,False
BID000317,TEN0060,VEN0088,14477000,2023-09-26 17:21:19,False
BID000318,TEN0060,VEN0044,13110000,2023-09-19 10:19:51,False
BID000319,TEN0061,VEN0022,7438000,2024-06-03 12:26:53,False
BID000320,TEN0061,VEN0009,7797000,2024-05-16 14:06:06,False
BID000321,TEN0061,VEN0039,7519000,2024-05-31 13:25:32,False
BID000322,TEN0061,VEN0032,8646000,2024-06-03 11:33:30,False
BID000323,TEN0061,VEN0053,7293000,2024-06-06 14:27:37,True
BID000324,TEN0062,VEN0111,8131000,2024-02-02 13:33:12,True
BID000325,TEN0062,VEN0053,8494000,2024-03-07 12:59:22,False
BID000326,TEN0063,VEN0016,1180000,2022-08-14 10:35:49,False
BID000327,TEN0063,VEN0099,1191000,2022-08-23 17:34:16,False
BID000328,TEN0063,VEN0003,1099000,2022-08-12 12:05:25,False
BID000329,TEN0063,VEN0015,1078000,2022-08-11 17:28:16,True
BID000330,TEN0063,VEN0002,1188000,2022-09-05 15:02:25,False
BID000331,TEN0063,VEN0107,1113000,2022-08-28 17:04:04,False
BID000332,TEN0063,VEN0049,1283000,2022-08-13 17:58:04,False
BID000333,TEN0064,VEN0060,843000,2024-04-10 10:35:32,False
BID000334,TEN0064,VEN0098,609000,2024-04-24 09:24:41,True
BID000335,TEN0064,VEN0071,776000,2024-04-08 15:01:56,False
BID000336,TEN0064,VEN0080,715000,2024-05-09 10:18:43,False
BID000337,TEN0064,VEN0059,716000,2024-04-07 11:26:42,False
BID000338,TEN0064,VEN0050,792000,2024-05-15 10:16:44,False
BID000339,TEN0065,VEN0115,11521000,2023-10-18 13:31:10,False
BID000340,TEN0065,VEN0017,8505000,2023-11-01 17:20:00,False
BID000341,TEN0065,VEN0021,11617000,2023-10-17 12:30:16,False
BID000342,TEN0065,VEN0076,8647000,2023-10-11 15:44:04,False
BID000343,TEN0065,VEN0082,9009000,2023-10-08 15:44:22,False
BID000344,TEN0065,VEN0079,8066000,2023-10-28 14:16:01,True
BID000345,TEN0065,VEN0114,8674000,2023-10-22 14:28:21,False
BID000346,TEN0066,VEN0091,809000,2023-06-26 13:08:19,False
BID000347,TEN0066,VEN0021,758000,2023-05-31 11:26:03,True
BID000348,TEN0066,VEN0076,848000,2023-06-07 11:13:05,False
BID000349,TEN0066,VEN0031,769000,2023-06-18 11:52:33,False
BID000350,TEN0066,VEN0055,825000,2023-06-21 13:10:03,False
BID000351,TEN0067,VEN0015,620000,2022-12-02 10:28:27,False
BID000352,TEN0067,VEN0003,703000,2022-12-26 14:42:00,False
BID000353,TEN0067,VEN0099,509000,2022-12-11 14:30:26,False
BID000354,TEN0067,VEN0025,706000,2022-11-14 15:12:55,False
BID000355,TEN0067,VEN0080,706000,2022-12-25 11:13:35,False
BID000356,TEN0067,VEN0050,484000,2022-12-16 10:23:08,True
BID000357,TEN0067,VEN0105,554000,2022-12-09 09:33:55,False
BID000358,TEN0068,VEN0089,1908000,2021-07-04 09:47:56,False
BID000359,TEN0068,VEN0003,2261000,2021-07-08 13:41:15,False
BID000360,TEN0068,VEN0075,1959000,2021-07-12 15:07:23,False
BID000361,TEN0068,VEN0098,1719000,2021-07-14 17:36:58,True
BID000362,TEN0068,VEN0110,2515000,2021-06-29 10:09:04,False
BID000363,TEN0068,VEN0105,2327000,2021-07-16 15:47:57,False
BID000364,TEN0069,VEN0041,3415000,2021-04-29 10:39:00,False
BID000365,TEN0069,VEN0056,3681000,2021-05-16 09:09:59,False
BID000366,TEN0069,VEN0052,3216000,2021-05-02 13:18:17,True
BID000367,TEN0070,VEN0053,3486000,2024-11-01 14:44:56,False
BID000368,TEN0070,VEN0066,3651000,2024-11-05 16:47:33,False
BID000369,TEN0070,VEN0032,5004000,2024-11-17 09:29:31,True
BID000370,TEN0071,VEN0074,38416000,2024-10-31 17:28:14,False
BID000371,TEN0071,VEN0069,38490000,2024-10-11 09:24:43,False
BID000372,TEN0071,VEN0058,38734000,2024-10-02 13:09:21,False
BID000373,TEN0071,VEN0056,36931000,2024-10-02 13:16:05,False
BID000374,TEN0071,VEN0041,32126000,2024-11-07 11:53:48,True
BID000375,TEN0072,VEN0096,4054000,2022-08-12 16:13:51,True
BID000376,TEN0072,VEN0111,5084000,2022-07-30 10:47:51,False
BID000377,TEN0072,VEN0044,5247000,2022-07-31 12:12:48,False
BID000378,TEN0072,VEN0032,5338000,2022-08-07 13:10:28,False
BID000379,TEN0072,VEN0088,4089000,2022-08-04 09:16:17,False
BID000380,TEN0072,VEN0066,4428000,2022-07-31 17:32:10,False
BID000381,TEN0072,VEN0078,4509000,2022-08-13 14:16:27,False
BID000382,TEN0072,VEN0068,5513000,2022-08-14 00:00:00,False
BID000383,TEN0073,VEN0071,441000,2021-10-22 15:23:14,False
BID000384,TEN0073,VEN0112,428000,2021-10-15 12:07:05,False
BID000385,TEN0073,VEN0080,452000,2021-10-24 09:50:35,False
BID000386,TEN0073,VEN0040,380000,2021-10-19 09:29:58,True
BID000387,TEN0073,VEN0085,505000,2021-10-20 17:47:53,False
BID000388,TEN0073,VEN0026,382000,2021-10-21 14:52:56,False
BID000389,TEN0073,VEN0105,417000,2021-10-24 16:28:03,False
BID000390,TEN0074,VEN0053,10208000,2024-12-11 17:08:52,False
BID000391,TEN0074,VEN0077,9281000,2024-12-12 11:57:16,True
BID000392,TEN0075,VEN0099,939000,2022-08-13 15:42:02,True
BID000393,TEN0075,VEN0060,781000,2022-08-15 17:17:58,False
BID000394,TEN0076,VEN0009,3084000,2022-09-15 10:32:21,False
BID000395,TEN0076,VEN0119,2773000,2022-09-03 09:06:05,False
BID000396,TEN0076,VEN0068,3118000,2022-09-06 09:49:14,False
BID000397,TEN0076,VEN0032,2646000,2022-09-22 09:09:54,True
